id,ma_khach_hang,noi_dung_binh_luan,ngay_binh_luan,gio_binh_luan,so_sao,ma_san_pham,thai_do
1,443,sử_dụng dễ_dàng rất_thoải_mái thư_giãn,29/04/2023,17:06,5,308500015,positive
2,1030,sử_dụng dễ dãng rất_thoải_mái thư_giãn,30/04/2023,15:04,5,308500015,positive
3,689,rất_thích hasaki_va sản_phẩm tẩy_trang,30/04/2023,18:34,5,422216594,positive
4,2519,sản_phẩm có khả_năng làm sạch tốt lớp trang_điểm da_mắt môi nhanh_chóng bị loại_bỏ cần lau qua bông tẩy_trang là toàn_bộ bụi bẩn dầu_thừa lớp make up được lấy đi vì_thế dùng cực_kỳ em phù_hợp da bị kích_ứng sản_phẩm không_chỉ làm sạch da mà_còn làm dịu giúp giảm tình_trạng ngứa_ngáy,17/07/2022,13:48,5,204100075,positive
5,402,sữa rửa mặt tốt sạch mụn mịn da_đáng mua,15/04/2023,23:04,5,422208977,positive
7,2517,sau dòng sữa rửa mặt chân_ái là mua tuyp nhỏ dùng thử trước thấy tốt mua chai là chai thứ lên nói_chung da nhờn khô tí là mụn chai tốt điểm,25/12/2022,17:11,5,204100019,positive
8,1750,giờ sài bha obagi chai đổi thử sài plc xem hasaki chuẩn_bị giao hàng nhanh có kèm quà tặng hết quà có trừ tiền sản_phẩm,9/7/2022,4:34,5,100220035,positive
9,3394,rất_tốt xài chai,7/7/2022,11:18,5,204100024,positive
10,1817,bị kich_ứng không_hợp sản_phẩm sử_dụng pas_lai bạn cần,5/2/2024,3:50,4,422216354,positive
11,3556,nhân_viên tư_vấn train được nhận da đẹp thôi á_t hỏi sản_phẩm dán mụn trả_lời sai_tè le ra mua mở sản_phẩm ra số luong không_như,12/9/2023,22:33,5,100250032,positive
12,2375,mùi thơm_dịu nhe mát nhanh thư_giãn,29/04/2023,16:52,5,422205163,positive
13,2027,không_đánh_giá cao vụ nâng tông trắng da chỉnh khoảng tông chống nắng làm kem lót phê_nha hợp kiểu make up no make up_đồ đi học đi chơi tự_nhiên không_có bị dày nặng mặt,24/10/2022,18:02,5,249500019,positive
14,2928,được so_sánh bnbg nhma thấy cấp ẩm không_tốt bnbg rất_tốt tầm_giá da dầu da đủ ẩm thoải_mái sau ngày mặt_nạ không_cần,27/03/2024,22:14,5,422209718,positive
