id,ma_khach_hang,noi_dung_binh_luan,ngay_binh_luan,gio_binh_luan,so_sao,ma_san_pham,thai_do
1,443,dễ_dàng thoải_mái,29/04/2023,17:06,5,308500015,positive
2,1030,thoải_mái,30/04/2023,15:04,5,308500015,positive
3,689,,30/04/2023,18:34,5,422216594,positive
4,2519,nhanh_chóng kích_ứng khó_chịu,17/07/2022,13:48,5,204100075,positive
5,402,,15/04/2023,23:04,5,422208977,positive
7,2517,,25/12/2022,17:11,5,204100019,positive
8,1750,,9/7/2022,4:34,5,100220035,positive
9,3394,,7/7/2022,11:18,5,204100024,positive
10,1817,,5/2/2024,3:50,4,422216354,positive
11,3556,,12/9/2023,22:33,5,100250032,positive
12,2375,,29/04/2023,16:52,5,422205163,positive
13,2027,tự_nhiên nặng_mặt,24/10/2022,18:02,5,249500019,positive
14,2928,thoải_mái,27/03/2024,22:14,5,422209718,positive
15,3059,,19/12/2020,7:52,2,413400001,negative
16,1118,có_thể,22/06/2021,9:30,5,422204884,positive
17,2273,,17/12/2022,11:20,4,422208183,positive
18,736,,5/12/2022,15:52,5,100230056,positive
19,731,,4/3/2023,19:08,5,100230056,positive
20,4234,kích_ứng,17/07/2023,23:05,4,422205637,positive
21,2696,,18/08/2019,23:21,5,422203776,positive
22,1806,,8/12/2016,7:54,5,422216098,positive
23,1281,,11/10/2021,12:13,5,204900005,positive
24,3417,tự_nhiên kích_ứng bé_tí mỏi_mắt,30/06/2022,22:32,5,351700026,positive
25,1268,,18/09/2024,12:03,5,204900056,positive
26,1360,trời_ơi hiệu_quả,3/7/2024,8:06,5,422208328,positive
27,2255,nhạy_cảm,12/10/2021,21:48,5,357100011,positive
29,2647,rát_mặt,15/02/2022,14:41,2,422203300,negative
30,3508,,1/10/2021,4:50,5,386000044,positive
31,2484,,10/3/2022,16:20,5,422204388,positive
32,4003,,31/05/2022,13:52,5,422205673,positive
33,3626,nhạy_cảm hỗn_hợp kích_ứng một_chút tự_nhiên nặng_mặt,30/10/2024,17:25,5,343100024,positive
34,3176,,10/7/2020,22:49,5,345800001,positive
35,2405,,26/04/2023,18:41,5,308500018,positive
36,681,dễ_chịu mát_da hợp_lý,30/04/2023,15:02,5,204100019,positive
37,319,,7/7/2024,23:26,4,422204167,positive
39,132,,25/05/2023,11:14,5,422212331,positive
40,2723,,9/6/2023,13:34,3,248700035,negative
42,575,khó_chịu nhạy_cảm,29/05/2024,9:02,5,253900006,positive
43,2887,liên_tục rõ_rệt nhanh_nhẹ đầy_đủ chi_tiết thường_xuyên,25/01/2021,13:49,5,422202580,positive
44,677,,3/5/2023,18:31,5,200400004,positive
46,2344,dễ_dàng thoải_mái,1/5/2023,20:04,5,308500004,positive
47,2893,,1/2/2021,13:41,5,422202580,positive
48,182,,28/05/2022,14:22,4,422204259,positive
49,3810,,14/05/2024,8:44,5,422209048,positive
50,1637,bình_thường,24/07/2024,11:32,5,100160022,positive
51,706,,28/04/2023,18:32,5,100230064,positive
52,414,có_thể,30/03/2023,13:04,5,422208976,positive
54,441,nồng_nặc,12/11/2022,10:11,4,249500027,positive
55,1469,,5/1/2022,1:03,4,204900056,positive
56,380,nhạy_cảm đặc_biệt nhẹ_nhàng hiệu_quả,22/04/2024,15:21,5,422208976,positive
57,2019,bình_dân tự_nhiên,20/11/2022,17:14,5,249500019,positive
58,777,,20/09/2021,16:36,5,100230057,positive
59,787,,22/06/2021,8:29,5,100230057,positive
60,2528,,15/07/2021,8:34,3,343700002,negative
61,201,,18/06/2022,9:17,4,422204259,positive
62,378,hợp_lý tương_đương,31/05/2024,22:45,4,422208974,positive
63,223,,14/02/2022,20:59,5,205100136,positive
64,1467,,10/2/2022,7:41,5,204900004,positive
65,1487,lâu_dài,10/1/2021,12:01,5,204900004,positive
66,324,hợp_lý,12/9/2020,17:15,5,245500009,positive
